 Peopleid,Job Satisfaction,Salary,Salary Unit,Location,Job Title,Firm Type,Firm Size,Health Insurance,Overtime,Vacation Days,Annual Bonus,Work Status,Years of Experience,Age,Gender,Licensed,Undergraduate School,Graduate School,Post-Graduate School,Date,Year
20098,9,250000,year,"Nashville, TN, US",Principal,Individual,6-10,Yes,Unpaid Overtime,30.0,"60,000",Full-time,> 40,71-103,Male,Licensed,,,,2024-09-01,2024
20097,7,72000,year,"Dallas, TX, US",Senior Designer,Corporate,501+,Yes,No Overtime,20.0,,Full-time,3-5,26-30,Male,No,Texas Tech University,,,2024-09-01,2024
20096,3,125000,year,"Miami, FL, US",Principal,Boutique,51-100,,Unpaid Overtime,,,Full-time,21-25,41-45,Female,No,,,,2024-09-01,2024
20095,8,162000,year,"Boston, MA, US",Principal,Other,201-500,Yes,No Overtime,20.0,,Full-time,11-15,36-40,Female,Licensed,,,,2024-09-01,2024
20094,10,129000,year,"Decatur, GA, US",Project Manager,Other,501+,Yes,Unpaid Overtime,30.0,"20,000",Full-time,6-7,31-35,Male,Licensed,Georgia Institute of Technology (Georgia Tech),University of Michigan,,2024-09-01,2024
20093,8,70000,year,"New York, NY, US",Project Manager,Other,51-100,Yes,Paid Overtime,17.0,,Full-time,< 1,26-30,Male,No,,,,2024-09-01,2024
20092,8,105000,year,"San Francisco, CA, US",Senior Architect,Boutique,6-10,Yes,Unpaid Overtime,10.0,"3,000",Full-time,8-10,31-35,Female,Licensed,University of Virginia,Harvard University,,2024-09-01,2024
20091,7,200000,year,"Los Angeles, CA, US",Principal,Corporate,51-100,Yes,Unpaid Overtime,20.0,,Full-time,21-25,36-40,Male,No,,,,2024-09-01,2024
20090,7,105000,year,"Lancaster, PA, US",Senior Architect,Boutique,51-100,Yes,Unpaid Overtime,20.0,"15,000",Full-time,16-20,36-40,Male,Licensed,,,,2024-09-01,2024
20089,9,110000,year,"Los Angeles, CA, US",Construction Administrator,Corporate,501+,Yes,,15.0,"22,000",Full-time,8-10,31-35,Male,Licensed,,,,2024-09-01,2024
20088,9,85000,year,"Houston, TX, US",BIM Specialist,Corporate,501+,Yes,Paid Overtime,20.0,"11,000",Full-time,6-7,26-30,Male,No,University of Arkansas,,,2024-09-01,2024
20087,6,100000,year,"Los Angeles, CA, US",Project Architect,,11-15,Yes,No Overtime,7.0,,Full-time,11-15,51-55,Female,Licensed,,,,2024-09-01,2024
20086,1,63000,year,"Birmingham, AL, US",Designer,Individual,31-50,Yes,Unpaid Overtime,10.0,"1,000",Full-time,1,21-25,Female,No,Mississippi State University,,,2024-09-01,2024
20085,7,72450,year,"San Francisco, CA, US",Junior Designer,Starchitect,31-50,,Unpaid Overtime,16.0,"1,500",Full-time,2,26-30,Female,No,California College of the Arts,,,2024-09-01,2024
20084,9,80000,year,"Cincinnati, OH, US",Project Architect,Corporate,51-100,Yes,Unpaid Overtime,15.0,,Full-time,11-15,36-40,Male,Licensed,,,,2024-09-01,2024
20083,8,90000,year,"Boston, MA, US",Project Architect,Individual,2-5,Yes,Paid Overtime,20.0,,Full-time,8-10,26-30,Male,Licensed,Boston Architectural College (BAC),,,2024-09-01,2024
20082,7,74000,year,"Cambridge, MA, US",Junior Architect,Individual,31-50,Yes,No Overtime,10.0,,Full-time,3,26-30,Male,Licensed,Oklahoma State University,,,2024-09-01,2024
20081,9,110000,year,"Chicago, IL, US",Project Architect,Starchitect,101-200,Yes,Unpaid Overtime,,"5,000",Full-time,16-20,41-45,Male,Licensed,,,,2024-09-01,2024
20080,7,70000,year,"San Francisco, CA, US",Designer,,6-10,Yes,Unpaid Overtime,14.0,"2,000",Full-time,3,26-30,Female,No,,The University of Texas at Austin,,2024-09-01,2024
20079,10,110000,year,"Nashville, TN, US",Principal,Corporate,16-30,Yes,No Overtime,,"50,000",Full-time,21-25,46-50,Male,Licensed,,,,2024-09-01,2024
20078,8,110000,year,"Los Angeles, CA, US",Associate,Boutique,6-10,Yes,No Overtime,10.0,,Full-time,8-10,31-35,Male,Licensed,The University of Texas at Austin,,,2024-09-01,2024
20077,6,66000,year,"Los Angeles, CA, US",Intermediate Architect,,51-100,,,,,,3-5,21-25,Female,No,,,,2024-09-01,2024
20076,1,77800,year,"Kansas City, MO, US",Project Architect,Boutique,2-5,Yes,Unpaid Overtime,,"1,500",Full-time,8-10,31-35,Female,Licensed,,,,2024-09-01,2024
20075,6,100000,year,"Charleston, SC, US",Project Manager,Corporate,101-200,Yes,Unpaid Overtime,15.0,"10,000",Full-time,11-15,31-35,Male,Licensed,Savannah College of Art and Design,Savannah College of Art and Design,,2024-09-01,2024
20074,9,75000,year,"New York, NY, US",Interior Designer,Boutique,2-5,,No Overtime,10.0,,Full-time,3-5,26-30,Male,No,,,,2024-09-01,2024
20073,7,70500,year,"Philadelphia, PA, US",Junior Designer,Individual,6-10,Yes,No Overtime,15.0,"2,000",Full-time,3-5,26-30,Male,No,Marywood University,,,2024-09-01,2024
20071,6,100000,year,"Austin, TX, US",Project Architect,Boutique,16-30,Yes,Unpaid Overtime,15.0,,Full-time,11-15,36-40,Male,Licensed,,,,2024-09-01,2024
20070,6,78000,year,"San Francisco, CA, US",Designer,,16-30,Yes,,,,,3-5,26-30,Female,Licensed,"California Polytechnic State University, San Luis Obispo",,,2024-09-01,2024
20069,8,78000,year,"New York, NY, US",Junior Designer,Boutique,16-30,Yes,,17.0,"4,000",Full-time,3,26-30,Female,No,,,,2024-09-01,2024
20064,8,85000,year,"Reston, VA, US",Project Manager,Other,51-100,Yes,Unpaid Overtime,20.0,,Full-time,8-10,36-40,Male,No,,,,2024-09-01,2024
20063,8,74000,year,"Los Angeles, CA, US",Associate,Corporate,201-500,Yes,Unpaid Overtime,,,Full-time,< 1,21-25,Male,No,UCLA Extension / Cal Poly Pomona,,,2024-09-01,2024
20062,8,115000,year,"New York, NY, US",Project Architect,,101-200,Yes,,,,,11-15,41-45,Male,Licensed,,,,2024-09-01,2024
20061,9,100000,year,"Princeton, NJ, US",Project Architect,Other,11-15,,,20.0,"4,000",Full-time,11-15,36-40,Male,Licensed,Rhode Island School of Design (RISD),,,2024-09-01,2024
20060,7,98000,year,"New York, NY, US",Senior Designer,Other,201-500,Yes,Paid Overtime,30.0,,Full-time,8-10,36-40,Female,No,,Columbia University,,2024-09-01,2024
20059,7,102000,year,"Saint Louis, MO, US",Associate,Corporate,101-200,Yes,Unpaid Overtime,20.0,"4,000",Full-time,11-15,31-35,Male,Licensed,,Kansas State University,,2024-09-01,2024
20058,9,92000,year,"Boston, MA, US",Project Manager,Individual,11-15,Yes,Unpaid Overtime,,,Full-time,8-10,31-35,Female,Licensed,,,,2024-08-01,2024
20057,10,66000,year,"Allen, TX, US",Job Captain,Individual,31-50,Yes,Paid Overtime,14.0,"4,000",Full-time,3,31-35,Female,No,,,,2024-08-01,2024
20055,4,130000,year,"Kansas City, MO, US",Senior Architect,Corporate,501+,,Paid Overtime,25.0,"40,000",Full-time,21-25,46-50,Male,Licensed,,,,2024-08-01,2024
20054,8,41600,hour,"Philadelphia, PA, US",Junior Architect,Individual,11-15,Yes,Paid Overtime,,,Full-time,< 1,21-25,Female,No,Temple University,Temple University,,2024-08-01,2024
20050,5,49920,hour,"Waukesha, WI, US",Associate,,6-10,,Paid Overtime,,,Full-time,2,21-25,Female,No,University of Wisconsin-Milwaukee,,,2024-08-01,2024
20049,8,200000,year,"Boulder, CO, US",Senior Architect,Boutique,2-5,,Unpaid Overtime,,,Full-time,26-30,46-50,Male,Licensed,University of Oregon,,,2024-08-01,2024
20047,5,78000,year,"New York, NY, US",Intermediate Architect,Boutique,16-30,Yes,No Overtime,20.0,,Full-time,6-7,31-35,Male,Licensed,University of Arkansas,,,2024-08-01,2024
20046,1,122000,year,"Houston, TX, US",Project Architect,Corporate,501+,Yes,No Overtime,21.0,"4,000",Full-time,8-10,31-35,Male,No,University of Houston,,,2024-08-01,2024
20045,8,87000,year,"Houston, TX, US",Project Architect,Corporate,501+,Yes,No Overtime,21.0,"10,000",Full-time,8-10,26-30,Male,No,Texas A&M University,University of Houston,,2024-08-01,2024
20043,8,65000,year,"Boston, MA, US",Designer,Corporate,31-50,Yes,,,"5,000",,6-7,26-30,Female,No,,,,2024-08-01,2024
20042,10,70000,year,"Boston, MA, US",Designer,Other,16-30,Yes,,15.0,,Full-time,2,21-25,Female,No,,,,2024-08-01,2024
20041,8,63000,year,"Boston, MA, US",Junior Architect,Corporate,31-50,Yes,Unpaid Overtime,36.0,"10,000",Full-time,2,21-25,Male,No,Syracuse University,,,2024-08-01,2024
20039,6,74000,year,"Seattle, WA, US",Intermediate Designer,Boutique,6-10,Yes,Unpaid Overtime,15.0,"1,500",Full-time,6-7,26-30,Female,No,Massachussets College of Art and Design,Tulane University,,2024-08-01,2024
20038,8,78000,year,"Florida, US",Designer,,201-500,Yes,,,,,6-7,31-35,Female,No,,,,2024-08-01,2024
20036,8,64480,hour,"Washington, DC, US",Designer,,6-10,,Paid Overtime,10.0,,Full-time,3-5,26-30,Female,No,,,,2024-08-01,2024
20033,8,64000,year,"Chicago, IL, US",Junior Architect,Corporate,501+,Yes,No Overtime,17.0,,Full-time,1,21-25,Male,No,,School of the Art Institute of Chicago,,2024-08-01,2024
20031,8,72000,year,"Boston, MA, US",Designer,Corporate,31-50,Yes,Unpaid Overtime,25.0,"3,000",Full-time,3-5,26-30,Female,No,,Rhode Island School of Design (RISD),,2024-08-01,2024
20030,10,65000,year,"Glens Falls, NY, US",Designer,Boutique,16-30,Yes,Unpaid Overtime,10.0,,Full-time,< 1,21-25,Male,No,University at Buffalo,University at Buffalo,,2024-08-01,2024
20029,8,148000,year,"Irvine, CA, US",Senior Architect,Corporate,201-500,Yes,No Overtime,,"25,000",Full-time,21-25,41-45,Male,Licensed,,,,2024-08-01,2024
20028,5,102000,year,"New York, NY, US",Project Architect,Starchitect,31-50,Yes,Unpaid Overtime,,,Full-time,8-10,31-35,Male,Licensed,,,,2024-08-01,2024
20027,5,94000,year,"Oak Brook, IL, US",Job Captain,Corporate,101-200,,Unpaid Overtime,21.0,"6,000",Full-time,16-20,41-45,Male,No,The University of Kansas,,,2024-08-01,2024
20026,7,135000,year,"New York, NY, US",Project Manager,Other,501+,Yes,No Overtime,21.0,,Full-time,11-15,36-40,Male,No,The Catholic University of America,Northeastern University,,2024-08-01,2024
20025,7,55000,year,"Boston, MA, US",Job Captain,Individual,6-10,,,,,Full-time,2,26-30,Female,No,Sheridan College,Boston Architectural College (BAC),,2024-08-01,2024
20024,7,100000,year,"Fargo, ND, US",Senior Architect,Individual,6-10,Yes,,20.0,,Full-time,11-15,36-40,Female,Licensed,,,,2024-08-01,2024
20023,5,90000,year,"Boca Raton, FL, US",Project Manager,Corporate,31-50,Yes,No Overtime,20.0,,Full-time,8-10,41-45,Female,Licensed,,,,2024-08-01,2024
20022,9,52000,year,"Chicago, IL, US",Associate,Corporate,101-200,Yes,,16.0,,Full-time,1,21-25,Female,No,University of Kentucky,School of the Art Institute of Chicago,,2024-08-01,2024
20021,5,68000,year,"Greenville, SC, US",Project Architect,Other,31-50,,Unpaid Overtime,14.0,"5,000",Full-time,8-10,31-35,Female,Licensed,,,,2024-08-01,2024
20020,7,54000,year,"Cookeville, TN, US",Senior Designer,Other,11-15,,Paid Overtime,12.0,"1,600",Full-time,3-5,26-30,Male,No,,,,2024-08-01,2024
20019,4,73009,year,"New York, NY, US",Project Manager,Boutique,11-15,Yes,Unpaid Overtime,12.0,,Full-time,3-5,26-30,Female,No,,Pratt Institute,,2024-08-01,2024
20017,4,475000,year,"New York, NY, US",Owner,Individual,1,,Paid Overtime,,,Full-time,16-20,46-50,Male,Licensed,Columbia University,University of Illinois Chicago,,2024-08-01,2024
20016,7,65000,year,"Dallas, TX, US",Project Architect,Boutique,2-5,Yes,No Overtime,,,,8-10,31-35,Male,Licensed,,,,2024-08-01,2024
20015,7,85000,year,"Detroit, MI, US",Senior Architect,Other,16-30,Yes,Unpaid Overtime,25.0,,Full-time,8-10,36-40,Female,Licensed,,,,2024-08-01,2024
20014,1,93000,year,"New York, NY, US",Associate,Corporate,501+,Yes,Unpaid Overtime,27.0,,Full-time,6-7,31-35,Female,No,,,,2024-08-01,2024
20013,3,55000,year,"Boulder, CO, US",Designer,,6-10,Yes,Unpaid Overtime,10.0,400,Full-time,< 1,21-25,Male,No,University of Colorado at Boulder,,,2024-08-01,2024
20012,7,125000,year,"Atlanta, GA, US",Technical Architect,Other,16-30,Yes,Unpaid Overtime,15.0,"5,000",Full-time,11-15,36-40,Male,Licensed,Auburn University,,,2024-08-01,2024
20011,4,57000,year,"Boulder, CO, US",Designer,Other,16-30,Yes,Unpaid Overtime,10.0,"1,000",Full-time,2,26-30,Female,No,,,,2024-08-01,2024
20009,8,60000,year,"King City, CA, US",Intermediate Architect,Other,11-15,,Paid Overtime,15.0,,Full-time,< 1,21-25,Male,No,Hartnell College,Academy Of Art University,,2024-08-01,2024
20008,7,75000,year,"Chicago, IL, US",Designer,Corporate,11-15,Yes,Unpaid Overtime,10.0,"8,000",Full-time,6-7,31-35,Male,No,,,,2024-07-01,2024
20006,4,95000,year,"Tampa, FL, US",Project Manager,Corporate,31-50,Yes,Unpaid Overtime,15.0,"4,000",Full-time,8-10,31-35,Male,No,,,,2024-07-01,2024
20005,7,104000,year,"San Diego, CA, US",Associate,Boutique,2-5,Yes,Unpaid Overtime,15.0,"20,000",Full-time,11-15,31-35,Female,Licensed,Portland State University,NewSchool of Architecture & Design,,2024-07-01,2024
20004,2,69680,year,"New Haven, CT, US",Designer,Starchitect,101-200,Yes,Paid Overtime,18.0,"4,000",,3,26-30,Male,No,,,,2024-07-01,2024
20003,10,116480,hour,"Basalt, CO, US",Project Manager,Boutique,2-5,,Unpaid Overtime,20.0,"5,000",Full-time,31-40,56-60,Male,No,Pontificia Universidad Católica de Chile,,,2024-07-01,2024
20002,8,85000,year,"Grand Junction, CO, US",Project Architect,Other,11-15,Yes,Unpaid Overtime,10.0,"1,500",Full-time,21-25,46-50,Male,Licensed,,,,2024-07-01,2024
20001,7,130000,year,"Boston, MA, US",Project Architect,Boutique,16-30,Yes,Unpaid Overtime,20.0,"3,000",Full-time,8-10,36-40,Male,Licensed,Rice University,Rice University,,2024-07-01,2024
20000,10,137500,year,"Overland Park, KS, US",Project Manager,Corporate,201-500,Yes,Unpaid Overtime,25.0,"10,000",Full-time,31-40,56-60,Male,Licensed,Kansas State University,,,2024-07-01,2024
19998,8,73000,year,"Eugene, OR, US",Project Architect,Boutique,16-30,Yes,No Overtime,10.0,"3,000",Full-time,3-5,26-30,Female,Licensed,University of Oregon,,,2024-07-01,2024
19997,9,105000,year,"Boston, MA, US",Job Captain,Other,11-15,Yes,No Overtime,10.0,,Full-time,8-10,31-35,Male,No,Boston Architectural College (BAC),,,2024-07-01,2024
19996,7,97000,year,"New York, NY, US",Intermediate Architect,Boutique,2-5,,No Overtime,14.0,"2,000",Full-time,3-5,26-30,Male,Licensed,Auburn University,,,2024-07-01,2024
19995,8,74880,hour,"San Francisco, CA, US",Project Manager,,6-10,Yes,Paid Overtime,15.0,"1,000",Full-time,3-5,26-30,Male,No,,,,2024-07-01,2024
19994,7,120000,year,"San Francisco, CA, US",Project Architect,Corporate,501+,Yes,,15.0,"5,000",,6-7,31-35,Female,No,,University of Illinois at Urbana-Champaign,,2024-07-01,2024
19992,10,127000,year,"Newark, NJ, US",Job Captain,Individual,2-5,,No Overtime,28.0,,Freelance,16-20,36-40,Male,No,Academy Of Art University,,,2024-07-01,2024
19991,4,84000,year,"Seattle, WA, US",Junior Architect,Corporate,201-500,Yes,Unpaid Overtime,16.0,"3,000",Full-time,3-5,26-30,Male,Licensed,,,,2024-07-01,2024
19990,2,75000,year,"New York, NY, US",Junior Designer,Boutique,6-10,,Unpaid Overtime,15.0,"1,000",Full-time,2,21-25,Female,No,University of Minnesota,Pratt Institute,,2024-07-01,2024
19989,7,76000,year,"Chattanooga, TN, US",Project Architect,Boutique,2-5,Yes,No Overtime,20.0,,Full-time,8-10,31-35,Male,Licensed,The Ohio State University,,,2024-07-01,2024
19988,9,125000,year,"Columbus, OH, US",Project Manager,Corporate,501+,Yes,Paid Overtime,15.0,"125,000",Full-time,11-15,36-40,Female,Licensed,University of Cincinnati,University of Cincinnati,,2024-07-01,2024
19987,9,68000,year,"Dearborn, MI, US",Intermediate Architect,Corporate,201-500,Yes,No Overtime,15.0,"4,500",Full-time,3,26-30,Female,No,Adrian College,University of Michigan,,2024-07-01,2024
19985,10,103000,year,"Pittsburgh, PA, US",Principal,Corporate,16-30,Yes,Unpaid Overtime,25.0,"10,000",Full-time,16-20,41-45,Male,Licensed,Kent State University,Kent State University,,2024-07-01,2024
19984,7,77000,year,"Dallas, TX, US",Senior Architect,,6-10,,Unpaid Overtime,,"3,000",Full-time,8-10,31-35,Other,Licensed,,,,2024-07-01,2024
19983,8,116000,year,"San Francisco, CA, US",Project Architect,Corporate,101-200,Yes,Unpaid Overtime,15.0,"6,000",Full-time,11-15,31-35,Male,Licensed,,,,2024-07-01,2024
19982,7,65000,year,"Austin, TX, US",Designer,,16-30,,,,,,3,31-35,Male,No,,,,2024-07-01,2024
19981,8,115000,year,"New York, NY, US",Senior Architect,Starchitect,16-30,Yes,Unpaid Overtime,15.0,,Full-time,8-10,31-35,Female,No,,Washington University in St. Louis,,2024-07-01,2024
19980,6,77000,year,"Washington, DC, US",Junior Architect,Corporate,501+,Yes,Paid Overtime,18.0,"10,000",Full-time,3,26-30,Male,Licensed,,Yale University,,2024-07-01,2024
19978,7,87000,year,"Los Angeles, CA, US",Project Architect,Boutique,2-5,,No Overtime,10.0,,Full-time,8-10,31-35,Female,No,American University of Sharjah,"University of California, Los Angeles (UCLA)",,2024-07-01,2024
19977,4,76500,year,"Atlanta, GA, US",Intermediate Designer,Corporate,201-500,Yes,Unpaid Overtime,,550,Full-time,3-5,26-30,Male,No,Kennesaw State University,,,2024-07-01,2024
19975,7,140000,year,"Sioux Falls, SD, US",Principal,,201-500,Yes,,,"12,000",Full-time,11-15,41-45,Other,Licensed,,,,2024-07-01,2024
19974,9,80080,year,"Seattle, WA, US",Intermediate Architect,Corporate,11-15,Yes,Paid Overtime,21.0,0,Full-time,6-7,26-30,Male,Licensed,Arizona State University,Tulane University,,2024-07-01,2024
19973,5,100000,year,"Abilene, TX, US",Principal,,2-5,Yes,,15.0,"10,000",,11-15,41-45,Male,Licensed,,The University of Texas at Austin,,2024-07-01,2024
19972,8,57000,year,"Columbus, OH, US",Intermediate Architect,Individual,51-100,Yes,Paid Overtime,21.0,800,Full-time,2,21-25,Female,No,Kent State University,,,2024-07-01,2024
19971,7,84000,year,"Ridgway, CO, US",Owner,Boutique,2-5,,,,,Full-time,3-5,26-30,Male,Licensed,,Kansas State University,,2024-07-01,2024
19970,8,80000,year,"New York, NY, US",Associate,Starchitect,101-200,Yes,Unpaid Overtime,20.0,,Full-time,3-5,26-30,Male,No,University at Buffalo,,,2024-07-01,2024
19968,8,112000,year,"Seattle, WA, US",Designer,Corporate,51-100,Yes,No Overtime,14.0,"8,000",Full-time,8-10,31-35,Male,No,Illinois Institute of Technology (IIT),,,2024-07-01,2024
19967,7,100000,year,"Los Angeles, CA, US",Project Architect,Corporate,501+,Yes,No Overtime,,"5,000",Full-time,6-7,31-35,Male,Licensed,University of Southern California (USC),,,2024-07-01,2024
19966,9,76000,year,"Phoenix, AZ, US",Project Manager,Individual,2-5,Yes,Paid Overtime,10.0,"10,000",Full-time,3,26-30,Male,No,Arizona State University,,,2024-07-01,2024
19965,10,93000,year,"Washington, US",Intermediate Designer,,501+,Yes,,,,Full-time,3-5,26-30,Male,No,The Pennsylvania State University (Penn State),,,2024-07-01,2024
19964,6,100000,year,"New York, NY, US",Owner,Corporate,501+,Yes,Paid Overtime,,,Full-time,8-10,31-35,Female,No,New York Institute of Technology (NYIT),,,2024-07-01,2024
19963,6,100000,year,"New York, NY, US",Owner,Corporate,501+,Yes,Paid Overtime,,,Full-time,8-10,31-35,Female,No,,,,2024-07-01,2024
19962,4,88000,year,"Portland, OR, US",Senior Designer,,201-500,,,,,,11-15,36-40,Female,No,,,,2024-07-01,2024
19961,5,109000,year,"Charlottesville, VA, US",Project Manager,,501+,Yes,No Overtime,,,Full-time,21-25,46-50,Male,Licensed,,,,2024-07-01,2024
19960,7,62000,year,"Des Moines, IA, US",Designer,,6-10,,,,,,2,36-40,Male,No,,Iowa State University,,2024-07-01,2024
19959,6,77000,year,"San Francisco, CA, US",Designer,,16-30,Yes,,,,,2,31-35,Female,No,,,,2024-07-01,2024
19958,6,74880,year,"Detroit, MI, US",Designer,Corporate,201-500,,No Overtime,15.0,"3,000",Full-time,6-7,26-30,Female,No,University of Detroit Mercy,University of Detroit Mercy,,2024-07-01,2024
19957,6,68000,year,"New York, NY, US",Designer,Starchitect,101-200,Yes,Unpaid Overtime,20.0,,Full-time,3-5,26-30,Male,No,Mississippi State University,Cranbrook Academy of Art,,2024-07-01,2024
19956,6,87500,year,"San Francisco, CA, US",Designer,Boutique,6-10,,No Overtime,8.0,,Full-time,6-7,36-40,Female,No,California College of the Arts,,,2024-07-01,2024
19955,5,50000,year,"Portland, OR, US",Designer,,11-15,,,,,,3,26-30,Male,No,,,,2024-07-01,2024
19954,7,67500,year,"Salem, MA, US",Designer,Boutique,16-30,Yes,Unpaid Overtime,14.0,"3,000",Full-time,3-5,26-30,Female,No,Wentworth Institute of Technology,Wentworth Institute of Technology,,2024-07-01,2024
19953,5,69400,year,"Kansas City, MO, US",Designer,Corporate,501+,Yes,Paid Overtime,,,Full-time,1,26-30,Female,No,,,,2024-07-01,2024
19952,8,105000,year,"Wisconsin, US",Project Manager,Individual,51-100,Yes,No Overtime,,,Full-time,8-10,31-35,Male,No,,,,2024-07-01,2024
19951,6,88000,year,"Austin, TX, US",Designer,Other,51-100,Yes,Unpaid Overtime,15.0,"7,000",Full-time,6-7,36-40,Male,No,University of Wisconsin-Milwaukee,University of Michigan,,2024-07-01,2024
19950,3,150000,year,"New York, NY, US",Interior Designer,Other,101-200,Yes,No Overtime,10.0,"10,000",Full-time,31-40,51-55,Female,Licensed,University of Cincinnati,,,2024-07-01,2024
19949,6,55000,year,"Austin, TX, US",Designer,Corporate,501+,Yes,,15.0,,Full-time,2,26-30,Female,No,Texas A&M University,Texas A&M University,,2024-07-01,2024
19947,8,109000,year,"Omaha, NE, US",Project Manager,Corporate,31-50,Yes,No Overtime,15.0,"27,000",Full-time,16-20,36-40,Male,Licensed,University of Nebraska-Lincoln,,,2024-07-01,2024
19944,9,63250,year,"Washington, DC, US",Interior Architect,Corporate,201-500,Yes,Unpaid Overtime,,"2,000",Full-time,< 1,26-30,Female,No,George Washington University,George Washington University,,2024-07-01,2024
19942,9,110000,year,"Chicago, IL, US",Senior Architect,Corporate,51-100,Yes,Unpaid Overtime,32.0,"5,000",Full-time,21-25,51-55,Male,Licensed,University of Detroit Mercy,,,2024-07-01,2024
19941,6,75000,year,"Washington, DC, US",Interior Architect,,11-15,Yes,,,,,1,26-30,Female,No,,,,2024-07-01,2024
19940,7,85000,year,"New York, NY, US",Project Architect,Boutique,2-5,Yes,Unpaid Overtime,10.0,,Full-time,3-5,26-30,Male,Licensed,Cornell University,,,2024-07-01,2024
19939,8,106000,year,"New York, NY, US",Senior Architect,,101-200,,,,,,8-10,36-40,Male,No,,,,2024-07-01,2024
19936,6,41600,hour,"San Antonio, TX, US",Junior Designer,Individual,2-5,,Unpaid Overtime,15.0,"2,300",Full-time,2,26-30,Male,No,University of Texas at San Antonio,,,2024-07-01,2024
19935,3,80000,year,"Charlotte, NC, US",Project Architect,Boutique,16-30,Yes,Unpaid Overtime,14.0,"2,000",Full-time,8-10,31-35,Female,Licensed,University of Florida,University of North Carolina at Charlotte,,2024-07-01,2024
19934,10,130000,year,"San Antonio, TX, US",Senior Architect,Other,501+,Yes,No Overtime,25.0,"13,000",Full-time,8-10,31-35,Male,Licensed,,,,2024-07-01,2024
19933,8,82800,year,"Minnesota, US",Intermediate Architect,Corporate,201-500,Yes,No Overtime,20.0,"1,000",Full-time,3-5,31-35,Male,Licensed,,,,2024-07-01,2024
19932,8,225000,year,"New York, NY, US",Senior Architect,Other,11-15,Yes,,15.0,,Full-time,21-25,56-60,Male,Licensed,University of Illinois Chicago,Pratt Institute,,2024-07-01,2024
19931,6,78500,year,"Austin, TX, US",Intermediate Designer,Other,11-15,Yes,Unpaid Overtime,20.0,"10,000",Full-time,3-5,26-30,Male,No,University of Dallas,,,2024-07-01,2024
19930,10,110000,year,"Los Angeles, CA, US",Associate,Corporate,501+,Yes,Unpaid Overtime,,,Full-time,8-10,36-40,Female,Licensed,,,,2024-07-01,2024
19928,8,118000,year,"San Francisco, CA, US",Project Manager,Boutique,31-50,Yes,Unpaid Overtime,15.0,"5,000",Full-time,11-15,31-35,Male,Licensed,,,,2024-07-01,2024
19927,8,108000,year,"Detroit, MI, US",Senior Architect,Boutique,51-100,Yes,Unpaid Overtime,18.0,"2,000",Full-time,8-10,31-35,Male,Licensed,University of Detroit Mercy,University of Detroit Mercy,,2024-07-01,2024
19925,8,50000,year,"Detroit, MI, US",Designer,,2-5,,No Overtime,,"1,000",Full-time,2,21-25,Female,No,University of Detroit Mercy,University of Detroit Mercy,,2024-07-01,2024
19922,6,69000,year,"New York, NY, US",Junior Designer,Corporate,501+,Yes,Unpaid Overtime,15.0,"3,000",Full-time,3,26-30,Female,No,University of Detroit Mercy,University of Detroit Mercy,,2024-07-01,2024
19920,10,37440,hour,"Detroit, MI, US",Intern,Corporate,51-100,,Paid Overtime,,,Full-time,2,21-25,Female,No,University of Detroit Mercy,University of Detroit Mercy,,2024-07-01,2024
19919,8,225000,year,"Seattle, WA, US",Principal,Corporate,51-100,Yes,Unpaid Overtime,25.0,"10,000",Full-time,16-20,41-45,Female,Licensed,Washington State University,,,2024-07-01,2024
19918,8,125000,year,"New York, NY, US",Project Manager,Corporate,501+,Yes,No Overtime,30.0,"13,000",Full-time,3-5,31-35,Female,No,,Yale University,,2024-07-01,2024
19916,6,61000,year,"Asbury Park, NJ, US",Associate,,6-10,Yes,,,,,3-5,31-35,Female,No,,,,2024-07-01,2024
19915,7,85000,year,"Los Angeles, CA, US",Project Manager,Individual,2-5,Yes,No Overtime,10.0,"2,500",Full-time,8-10,31-35,Male,No,,,,2024-07-01,2024
19914,8,130000,year,"Chicago, IL, US",Associate,,51-100,,,,,,16-20,41-45,Female,No,,,,2024-07-01,2024
19913,7,74000,year,"Detroit, MI, US",Designer,Corporate,51-100,Yes,Paid Overtime,21.0,"2,000",Full-time,3-5,21-25,Female,No,University of Detroit Mercy,University of Detroit Mercy,,2024-07-01,2024
19911,5,72000,year,"Minneapolis, MN, US",Designer,Boutique,6-10,Yes,Unpaid Overtime,12.0,"1,000",Full-time,6-7,31-35,Male,No,South Dakota State University,South Dakota State University,,2024-07-01,2024
19910,8,73500,year,"Washington, DC, US",Job Captain,Corporate,201-500,Yes,Paid Overtime,15.0,"3,000",Full-time,6-7,31-35,Female,No,,,,2024-07-01,2024
19909,8,83678,year,"Washington, DC, US",Associate,Corporate,501+,Yes,,21.0,"1,800",Full-time,6-7,26-30,Male,Licensed,Northeastern University,Northeastern University,,2024-07-01,2024
19907,7,87360,year,"Detroit, MI, US",Project Architect,Corporate,101-200,Yes,Paid Overtime,15.0,"6,000",Full-time,8-10,31-35,Female,Licensed,University of Michigan,University of Michigan,,2024-07-01,2024
19906,5,150000,year,"Washington, DC, US",BIM Specialist,,51-100,Yes,,,,,11-15,51-55,Male,No,,,,2024-07-01,2024
