 Peopleid,Job Satisfaction,Salary,Salary Unit,Location,Job Title,Firm Type,Firm Size,Health Insurance,Overtime,Vacation Days,Annual Bonus,Work Status,Years of Experience,Age,Gender,Licensed,Undergraduate School,Graduate School,Post-Graduate School,Date,Year
14343,7,61000,year,"Chicago, IL, US",Junior Designer,Corporate,501+,Yes,Paid Overtime,15.0,"3,000",Full-time,3,26-30,Female,No,,University of Cincinnati,,2020-06-01,2020
14342,6,76500,year,"New York, NY, US",Intermediate Designer,Boutique,31-50,Yes,Unpaid Overtime,23.0,"6,000",Full-time,3-5,26-30,Male,No,,,,2020-06-01,2020
14341,10,58000,year,"Denver, CO, US",Designer,Corporate,501+,,No Overtime,23.0,,Full-time,1,26-30,Female,No,Colby College,The University of Texas at Austin,,2020-06-01,2020
14340,8,42600,year,"Arlington, VA, US",Junior Designer,,2-5,,,,,,< 1,21-25,Female,No,,,,2020-06-01,2020
14339,4,75000,year,"New York, NY, US",Intermediate Architect,Boutique,6-10,Yes,,10.0,,Full-time,3-5,26-30,Female,No,,,,2020-06-01,2020
14338,7,53000,year,"Atlanta, GA, US",Designer,Boutique,6-10,Yes,Unpaid Overtime,10.0,"8,000",Full-time,3-5,31-35,Male,No,,,,2020-06-01,2020
14336,7,62000,year,"Brooklyn, NY, US",Designer,Boutique,2-5,Yes,Unpaid Overtime,15.0,,Full-time,2,26-30,Female,No,,,,2020-06-01,2020
14335,8,57000,year,"Kansas City, MO, US",Designer,Corporate,501+,Yes,Paid Overtime,15.0,,Full-time,2,21-25,Male,No,The University of Kansas,,,2020-06-01,2020
14334,6,82000,year,"New York, NY, US",Project Manager,Boutique,16-30,Yes,Unpaid Overtime,15.0,"7,500",Full-time,8-10,31-35,Male,No,Brown University,Yale University,,2020-06-01,2020
14333,3,54500,year,"Houston, TX, US",Intermediate Architect,,101-200,Yes,Unpaid Overtime,,"1,500",Full-time,3-5,26-30,Female,No,University of Texas at San Antonio,University of Houston,,2020-06-01,2020
14332,1,73000,year,"Baltimore, MD, US",Designer,Boutique,16-30,Yes,Unpaid Overtime,14.0,"3,000",Full-time,6-7,31-35,Male,No,University at Buffalo,University at Buffalo,,2020-06-01,2020
14330,7,100000,year,"Brooklyn, NY, US",Senior Architect,,6-10,Yes,Unpaid Overtime,15.0,,Full-time,8-10,31-35,Female,Licensed,University of Minnesota,,,2020-06-01,2020
14329,10,78000,year,"Baltimore, MD, US",Associate,,16-30,Yes,Unpaid Overtime,10.0,"1,000",Full-time,8-10,31-35,Female,Licensed,,,,2020-06-01,2020
