id,Job Satisfaction,Salary,Salary Unit,Location,Job Title,Firm Type,Firm Size,Health Insurance,Overtime,Vacation Days,Annual Bonus,Work Status,Years of Experience,Age,Gender,Licensed,Undergraduate School,Graduate School,Post-Graduate School,Date,Year,Latitude,Longitude
5659,8,61000,year,"Boston, MA",Project Manager,Corporate,101-200,Yes,Unpaid Overtime,25.0,2000.0,Full-time,6-7,26-30,Female,Yes,Rensselaer Polytechnic Institute,,,2014-06-01,2014,42.3554334,-71.060511
5658,8,90000,year,"Los Angeles, CA",Senior Designer,,101-200,Yes,Unpaid Overtime,10.0,,Full-time,21-25,51-55,Male,No,Pontifica Universidad Catolica de Chile,Pontifica Universidad Catolica de Chile,,2014-06-01,2014,34.0536909,-118.242766
5657,6,93000,year,"San Diego, CA",Project Manager,Boutique,6-10,Yes,Paid Overtime,10.0,9300.0,Full-time,8-10,31-35,Male,No,,,,2014-06-01,2014,32.7174202,-117.162772
5656,6,76000,year,"Chicago, IL",Senior Designer,Corporate,51-100,Yes,No Overtime,15.0,,Full-time,11-15,41-45,Male,Yes,,University of Illinois at Urbana-Champaign,,2014-06-01,2014,41.8755616,-87.6244212
5653,8,54000,year,"New York, NY",Junior Architect,,51-100,Yes,Unpaid Overtime,10.0,6000.0,Full-time,2,21-25,Female,No,Syracuse University,,,2014-06-01,2014,40.7127281,-74.0060152
5652,10,55000,year,"New York, NY",Job Captain,Corporate,16-30,Yes,No Overtime,10.0,2500.0,Full-time,3,26-30,Male,No,New York Institute of Technology (NYIT),,,2014-06-01,2014,40.7127281,-74.0060152
5651,7,47840,hour,"San Francisco, CA",Intern,Corporate,11-15,Yes,No Overtime,14.0,,Full-time,< 1,21-25,Male,No,University of Florida,,,2014-06-01,2014,37.7792588,-122.4193286
5650,10,290000,year,"Sherman Oaks, CA",Principal,Boutique,1,Yes,,,,Full-time,16-20,41-45,Male,Yes,,,,2014-06-01,2014,34.1508718,-118.448986
5648,9,100000,year,"New York, NY",Construction Administrator,Boutique,16-30,Yes,Unpaid Overtime,20.0,10000.0,,8-10,31-35,Male,Yes,Lehigh University,Washington University in St. Louis,,2014-06-01,2014,40.7127281,-74.0060152
5647,7,52000,year,"San Francisco, CA",Job Captain,Other,16-30,Yes,Unpaid Overtime,20.0,1500.0,Full-time,8-10,31-35,Male,No,University of Colorado at Boulder,,,2014-06-01,2014,37.7792588,-122.4193286
5646,4,41600,year,"Philadelphia, PA",Junior Architect,Boutique,11-15,Yes,Paid Overtime,14.0,1000.0,Full-time,3,26-30,Male,No,Temple University,,,2014-06-01,2014,39.9527237,-75.1635262
5645,8,70000,year,"Chicago, IL",Project Architect,,16-30,Yes,Unpaid Overtime,10.0,5000.0,Full-time,8-10,31-35,Female,Yes,,,,2014-06-01,2014,41.8755616,-87.6244212
5644,6,59200,year,"New York, NY",Technical Architect,Other,51-100,Yes,No Overtime,10.0,,Full-time,3,26-30,Male,No,Pratt Institute,,,2014-06-01,2014,40.7127281,-74.0060152
5643,7,62000,year,"New York, NY",Junior Architect,Corporate,51-100,Yes,Unpaid Overtime,16.0,500.0,Full-time,6-7,26-30,Female,No,Pratt Institute,,,2014-06-01,2014,40.7127281,-74.0060152
5642,5,68000,year,"New York, NY",Technical Architect,Other,31-50,Yes,Unpaid Overtime,15.0,6000.0,Full-time,6-7,26-30,Female,No,Pratt Institute,,,2014-06-01,2014,40.7127281,-74.0060152
5641,6,70000,year,"Phoenix, AZ",Senior Architect,Corporate,501+,Yes,Paid Overtime,15.0,17692.0,Full-time,8-10,31-35,Male,Yes,,Arizona State University,,2014-06-01,2014,33.4484367,-112.074141
5639,4,38400,year,"Brookline, MA",Project Architect,Individual,2-5,Yes,Unpaid Overtime,14.0,,Full-time,< 1,26-30,Female,No,,Massachusetts Institute of Technology (MIT),,2014-06-01,2014,42.3329021,-71.1187421
5638,10,90000,year,"San Jose, CA",Principal,Boutique,6-10,Yes,No Overtime,15.0,50000.0,Full-time,21-25,46-50,Male,Yes,,,,2014-06-01,2014,37.3361663,-121.890591
